policy,workers,qps,speedup,parallel_efficiency
0,1,1297.2087726902628,1.0,1.0
0,8,9730.024381901938,7.500738961025509,0.9375923701281886
1,1,1242.1109702060983,1.0,1.0
1,8,9285.840928117585,7.475854533815786,0.9344818167269733
