rho,replicate_count,ef_search,mean_recall_exact_native_across_replicates_mean,mean_recall_exact_native_across_replicates_std,mean_recall_pq_native_across_replicates_mean,mean_recall_pq_native_across_replicates_std,mean_recall_pq_L0_oracle_across_replicates_mean,mean_recall_pq_L0_oracle_across_replicates_std,rerank_recovery_across_replicates_mean,rerank_recovery_across_replicates_std,mean_coverage_exact_L0_across_replicates_mean,mean_coverage_exact_L0_across_replicates_std,mean_coverage_pq_L0_across_replicates_mean,mean_coverage_pq_L0_across_replicates_std,mean_evaluated_L0_jaccard_across_replicates_mean,mean_evaluated_L0_jaccard_across_replicates_std,mean_exact_L0_unique_distance_evaluations_across_replicates_mean,mean_exact_L0_unique_distance_evaluations_across_replicates_std,mean_pq_L0_unique_distance_evaluations_across_replicates_mean,mean_pq_L0_unique_distance_evaluations_across_replicates_std,mean_exact_upper_only_unique_distance_evaluations_across_replicates_mean,mean_exact_upper_only_unique_distance_evaluations_across_replicates_std,mean_pq_upper_only_unique_distance_evaluations_across_replicates_mean,mean_pq_upper_only_unique_distance_evaluations_across_replicates_std,fraction_ground_truth_spans_multiple_components_across_replicates_mean,fraction_ground_truth_spans_multiple_components_across_replicates_std,max_absolute_delta_exact_control_across_replicates_mean,max_absolute_delta_exact_control_across_replicates_std,mean_delta_total_across_replicates_mean,mean_delta_total_across_replicates_std,median_delta_total_across_replicates_mean,median_delta_total_across_replicates_std,p90_delta_total_across_replicates_mean,p90_delta_total_across_replicates_std,p95_delta_total_across_replicates_mean,p95_delta_total_across_replicates_std,p99_delta_total_across_replicates_mean,p99_delta_total_across_replicates_std,mean_delta_discovery_across_replicates_mean,mean_delta_discovery_across_replicates_std,median_delta_discovery_across_replicates_mean,median_delta_discovery_across_replicates_std,p90_delta_discovery_across_replicates_mean,p90_delta_discovery_across_replicates_std,p95_delta_discovery_across_replicates_mean,p95_delta_discovery_across_replicates_std,p99_delta_discovery_across_replicates_mean,p99_delta_discovery_across_replicates_std,mean_delta_ranking_across_replicates_mean,mean_delta_ranking_across_replicates_std,median_delta_ranking_across_replicates_mean,median_delta_ranking_across_replicates_std,p90_delta_ranking_across_replicates_mean,p90_delta_ranking_across_replicates_std,p95_delta_ranking_across_replicates_mean,p95_delta_ranking_across_replicates_std,p99_delta_ranking_across_replicates_mean,p99_delta_ranking_across_replicates_std,fraction_delta_discovery_positive_across_replicates_mean,fraction_delta_discovery_positive_across_replicates_std,fraction_delta_discovery_zero_across_replicates_mean,fraction_delta_discovery_zero_across_replicates_std,fraction_delta_discovery_negative_across_replicates_mean,fraction_delta_discovery_negative_across_replicates_std,pq_mean_absolute_distance_error_across_replicates_mean,pq_mean_absolute_distance_error_across_replicates_std,pq_median_absolute_distance_error_across_replicates_mean,pq_median_absolute_distance_error_across_replicates_std,pq_p95_absolute_distance_error_across_replicates_mean,pq_p95_absolute_distance_error_across_replicates_std,pq_mean_absolute_relative_distance_error_across_replicates_mean,pq_mean_absolute_relative_distance_error_across_replicates_std,pq_median_absolute_relative_distance_error_across_replicates_mean,pq_median_absolute_relative_distance_error_across_replicates_std,pq_pairwise_strict_inversion_rate_across_replicates_mean,pq_pairwise_strict_inversion_rate_across_replicates_std,pq_pairwise_tie_rate_across_replicates_mean,pq_pairwise_tie_rate_across_replicates_std,mean_delta_discovery_lowest_cluster_margin_quartile_across_replicates_mean,mean_delta_discovery_lowest_cluster_margin_quartile_across_replicates_std,mean_delta_discovery_lowest_nn_margin_quartile_across_replicates_mean,mean_delta_discovery_lowest_nn_margin_quartile_across_replicates_std,mean_delta_discovery_other_nn_margin_quartiles_across_replicates_mean,mean_delta_discovery_other_nn_margin_quartiles_across_replicates_std
0,4,256,0.96495,0.003732291521304279,0.8253,0.004935585071701208,0.96295,0.0046658332589152645,0.9860029584512975,0.01627218997444895,0.96495,0.003732291521304279,0.96295,0.0046658332589152645,0.8510941607424727,0.0013668176890379198,4213.712,10.440051213156698,4214.605,11.010358335071091,28.075499999999998,1.0405874943191147,27.666,0.9234500527911632,1.0,0.0,0.0,0.0,0.13964999999999997,0.004756399198273141,0.09999999999999998,0.0,0.275,0.04999999999999999,0.30000000000000004,0.0,0.4,0.0,0.0019999999999999996,0.002292015125022811,0.0,0.0,0.0,0.0,0.07499999999999998,0.04999999999999999,0.1,5.551115123125783e-17,0.13765,0.003242941051987637,0.09999999999999998,0.0,0.22750000000000065,0.048562674281111266,0.30000000000000004,0.0,0.3502499999999998,0.05744780239486998,0.063,0.01829389697868299,0.891,0.01700980109623078,0.046,0.004320493798938574,2.131642956829071,0.034727854431400446,1.684311866760254,0.03505569297230769,5.602860546112059,0.11074242405256067,0.016544064095513872,0.00018094464552919007,0.013483835733495653,0.00015902131939895988,0.042475,0.0014728091073410241,0.0,0.0,0.0019999999999999996,0.002292015125022811,0.0002000000000000002,0.0025612496949731388,0.0026,0.0026432303468798676
0.1,4,256,0.9729,0.002150968773986936,0.82825,0.002068010315899492,0.97315,0.0021126602503321,1.001776388026253,0.005597168143042242,0.9729,0.002150968773986936,0.97315,0.0021126602503321,0.8534539404772846,0.0009978606616751005,4179.5545,6.600425314579021,4180.092000000001,4.91570083168877,27.7925,2.2810035072309724,27.7595,2.2226340979417505,0.997,0.0025819888974716134,0.0,0.0,0.14465,0.003725139818405035,0.09999999999999998,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.4,0.0,-0.00025000000000000017,0.0008062257748298548,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.1449,0.003435112807463533,0.09999999999999998,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.3752499999999998,0.04950000000000046,0.0405,0.006191391873668902,0.9185000000000001,0.006806859285554052,0.041,0.0011547005383792527,2.1283738973617554,0.01631487007190203,1.6795244216918945,0.027783180256465704,5.641804409027095,0.09258792388656296,0.016602969634400257,0.0001183175870049462,0.013484403723850846,0.00018933441976543052,0.04345,0.0014753530650887141,0.0,0.0,0.0009999999999999994,0.003354598833442432,0.0001999999999999997,0.0035999999999999995,-0.00040000000000000013,0.0010327955589886442
0.25,4,256,0.9956,0.0005163977794943514,0.8420500000000001,0.0020091457554559525,0.9957499999999999,0.0007371114795832512,1.0009474443556359,0.0038799944920882563,0.9956,0.0005163977794943514,0.9957499999999999,0.0007371114795832512,0.8826726181585746,0.0024517886047867327,2783.306,32.90957838279516,2765.8845,32.738073752131506,29.0155,1.2988799020694712,28.695,1.55087287250331,0.4635,0.021439838307847996,0.0,0.0,0.15354999999999996,0.0019209372712298554,0.09999999999999998,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.4,0.0,-0.00015000000000000001,0.0005972157622389638,0.0,0.0,0.0,0.0,0.0,0.0,0.024999999999999994,0.04999999999999999,0.15369999999999998,0.0024303634844744294,0.11249999999999998,0.024999999999999994,0.30000000000000004,0.0,0.30000000000000004,0.0,0.4,0.0,0.005,0.004760952285695234,0.989,0.005773502691896262,0.006,0.003265986323710904,2.075605402469635,0.029153441535343792,1.6412010192871094,0.02237047827677302,5.437168407440183,0.08487978199499631,0.01632253316609113,0.0002875093493732783,0.013307238114066422,0.00020605356059251519,0.039,0.0012832251036613434,0.0,0.0,-0.00040000000000000013,0.0020132891827388663,0.0,0.000923760430703401,-0.00020000000000000004,0.0009828153061109323
0.5,4,256,0.99975,0.00019148542155123687,0.8290000000000001,0.0034832934606968276,0.9998,0.00016329931618552722,1.0002954378065896,0.001127959213018232,0.99975,0.00019148542155123687,0.9998,0.00016329931618552722,0.9712707246013602,0.0025495585923448953,1190.673,5.018851262988329,1190.3735,4.856604129087228,26.537,1.5822258582979445,26.503999999999998,1.4432712842705633,0.0005,0.001,0.0,0.0,0.17074999999999999,0.003571647612330574,0.19999999999999996,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.4002499999999998,0.0004999999999995564,-4.999999999999999e-05,0.00019148542155126755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1708,0.0035515254938312643,0.19999999999999996,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.4002499999999998,0.0004999999999995564,0.0005,0.001,0.9984999999999999,0.0010000000000000009,0.001,0.0011547005383792514,1.939369566822052,0.011925803204101497,1.5461111068725586,0.008915612853347,5.038839149475095,0.03359203447662119,0.015632702444641898,0.0001454472359010924,0.0128155667334795,7.413623610223762e-05,0.0384,0.0008906926143924913,0.0,0.0,0.0,0.0006531972647421807,0.00019999999999999996,0.00039999999999999986,-0.0001333333333333333,0.0001539600717839002
0.75,4,256,0.9997,0.0002581988897471614,0.7801,0.00811664955508119,0.9997,0.0002581988897471614,1.0,0.0,0.9997,0.0002581988897471614,0.9997,0.0002581988897471614,0.9698134442438204,0.0008198571763210696,1171.05,3.1257029076139253,1170.993,4.0132648388396515,23.3795,1.859033709574233,23.242,1.8902754649344984,0.0,0.0,0.0,0.0,0.2196,0.00833946441125966,0.19999999999999996,0.0,0.375,0.04999999999999999,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2196,0.00833946441125966,0.19999999999999996,0.0,0.375,0.04999999999999999,0.4,0.0,0.5,0.0,0.0005,0.001,0.999,0.0020000000000000018,0.0005,0.001,1.6700854276180268,0.01586629207421032,1.336935043334961,0.022249000543855976,4.339642238616942,0.0233601579328756,0.014051070762655021,0.0002036114517111329,0.011435616877861321,0.00029715909578307366,0.035,0.003250640962435972,0.0,0.0,0.00019999999999999996,0.00039999999999999986,0.0,0.0,0.0,0.0
0.9,4,256,0.9997,0.0002581988897471614,0.71165,0.004864497233356532,0.9996999999999999,0.00019999999999997797,1.0000042871903039,0.0005635984139062476,0.9997,0.0002581988897471614,0.9996999999999999,0.00019999999999997797,0.9634615983982258,0.0010385286343629404,1166.5885,3.4165118176292792,1165.7135,3.6298291511676513,22.076,1.6439740468348845,21.9965,1.7158907307867837,0.0,0.0,0.0,0.0,0.28805000000000003,0.005120872321522313,0.30000000000000004,0.0,0.4,0.0,0.5,0.0,0.575,0.04999999999999999,0.0,0.00016329931618554516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28805000000000003,0.005028916384272072,0.30000000000000004,0.0,0.4,0.0,0.5,0.0,0.575,0.04999999999999999,0.0005,0.001,0.999,0.0011547005383792527,0.0005,0.001,1.2939220663905144,0.0117528940584364,1.0458259582519531,0.019901812210244393,3.3362923622131335,0.05862545656971931,0.011849719487939635,0.00023192250730727152,0.009205737733282149,0.00018073786764914298,0.032,0.004005829086052807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021773242158072692
