policy,recall,refined_queries,refined_fraction,exact_evals,exact_evals_per_query,mean_us,median_us,p90_us,p95_us,p99_us,qps,rep_mean_std_us,rep_mean_min_us,rep_mean_max_us,mean_stream_qps,recall_scope,random_recall_mean,random_recall_p025,random_recall_p975,latency_excluded
NATIVE,0.8503087285994949,0,0.0,0,0.0,161.6498327352552,163.5865,183.213,189.40954999999997,203.59184999999997,6186.21116446045,0.4413240047063888,160.94057598933483,162.40831532416505,6184.419434206668,deterministic,,,,
GAP,0.8805009823182712,3556,0.24950884086444008,56896,3.9921414538310414,182.42710108856903,184.777,208.30169999999998,215.58184999999997,231.18410999999998,5481.641675128611,0.139892618642097,182.25064468144822,182.67554869492,5480.23913143303,deterministic,,,,
RANDOM,0.8725231546449623,3556,0.24950884086444008,56896,3.9921414538310414,171.10725183432902,169.4445,207.1301,217.673,235.08674,5844.28765747596,0.2538548021120399,170.66175659556552,171.47485496772381,5842.680725422059,fixed random mask0 (not mean of30),0.8727844045280195,0.8721842548414259,0.8735035433623353,
ALL16,0.9399733370754981,14252,1.0,228032,16.0,184.65068463574036,186.993,210.7497,218.14494999999994,234.12443999999994,5415.631152262965,0.29785141993967273,184.30462987650856,185.16915724108895,5414.30856748331,deterministic,,,,
ORACLE-offline,0.9503648610721304,,,14744891,1034.5839882121807,,,,,,,,,,,,,,,True
