condition,fixed_candidate_recall,ranking_recall_loss,cross_boundary_inversion_count
seed_0,0.85313,0.10002,5.5846
seed_1,0.85331,0.09984000000000001,5.5208
seed_2,0.8526600000000001,0.10049000000000001,5.511
seed_3,0.8530400000000001,0.10011,5.5048
seed_4,0.8531200000000001,0.10003000000000001,5.5914
ensemble diagnostic,0.8957700000000003,0.057379999999999994,2.1834
