phase,mode,replicate,clock_level,mean_us,median_us,p90_us,p95_us,p99_us,service_qps,stream_qps,full_scratch_bytes
primary,FULL,2,1,185.42780550098232,187.6685,212.3729,220.23329999999999,239.66770999999997,5392.934448521543,5391.485566781859,4024576
primary,FULL,3,0,184.0384434465338,186.73149999999998,210.1731,216.97779999999997,233.46002,5433.647347112651,5432.280097988408,4024576
primary,FULL,3,1,184.5595273645804,186.9715,211.45850000000002,218.75415,234.46430999999998,5418.306029927092,5416.876481945396,4024576
primary,FULL,4,0,184.7700647628403,187.253,211.53740000000002,218.80184999999994,234.30160999999995,5412.1321074576645,5410.779892756042,4024576
primary,FULL,4,1,184.4399049256245,187.02249999999998,210.9768,218.2749,233.34091,5421.820188007853,5420.378123242688,4024576
primary,FULL,5,0,185.39166580129103,187.882,212.3658,219.8227,237.21242999999998,5393.985731116054,5392.627252161178,4024576
primary,FULL,5,1,184.3938774207129,186.7385,210.58759999999998,217.82945,233.68329999999997,5423.173556453835,5421.730660395619,4024576
primary,FULL,6,0,183.94270088408646,186.433,210.2288,217.42999999999998,233.33690999999993,5436.475571978043,5435.0726831255515,4024576
primary,FULL,6,1,184.70441671344372,187.2265,211.15769999999998,218.51209999999995,233.97706999999997,5414.0556993362625,5412.580316798713,4024576
primary,NATIVE,0,0,162.4875344513051,164.279,183.9152,190.7199,204.66218999999998,6154.318258178038,6152.290398342777,0
primary,NATIVE,0,1,162.80548919449905,164.792,184.599,190.782,204.85752,6142.299040085367,6140.237860139583,0
primary,NATIVE,1,0,163.17435117878193,165.078,184.9502,191.18585,206.21875999999997,6128.414133569008,6126.416610470307,0
primary,NATIVE,1,1,163.3332095846197,165.19,185.3888,191.62509999999997,206.08835,6122.453618239344,6120.415411300483,0
primary,NATIVE,2,0,162.71591629245017,164.389,184.3081,191.1887,208.72081999999997,6145.680292287417,6143.600478795115,0
primary,NATIVE,2,1,163.05348687903452,164.8135,184.6545,191.26684999999998,207.25116,6132.956854469945,6130.8712449578325,0
primary,NATIVE,3,0,163.01174670221724,164.9325,184.4608,191.02045,205.29333999999997,6134.527236412947,6132.512683457912,0
primary,NATIVE,3,1,162.82281230704461,164.773,184.4329,190.76624999999996,204.84805999999998,6141.645546044499,6139.586145532419,0
primary,NATIVE,4,0,162.91505550098233,164.8845,184.4218,190.50195,205.60245,6138.168120342753,6136.288591963706,0
primary,NATIVE,4,1,162.91187917485266,164.7135,184.7834,190.79405,204.83176999999998,6138.287797458306,6136.193155839039,0
primary,NATIVE,5,0,162.48023905416784,164.464,183.6599,190.0715,203.70675999999997,6154.594588370952,6152.519006123893,0
primary,NATIVE,5,1,164.1751358405838,165.823,186.5915,193.30215,208.24833999999993,6091.056327622065,6088.99186882383,0
primary,NATIVE,6,0,163.037856651698,165.0165,184.6885,191.26409999999998,205.3257,6133.544813069555,6131.494127509657,0
primary,NATIVE,6,1,162.73545453269716,164.683,184.2294,190.29335,204.91439,6144.942433543748,6142.895866055988,0
diagnostic,BOUNDED_ALL16,0,0,173.36990338198146,174.84550000000002,198.0345,205.94994999999997,221.42158999999995,5768.013827617621,5766.435189151067,0
diagnostic,BOUNDED_ALL16,0,1,171.6481364720741,173.699,194.71689999999998,201.35215,216.04945999999998,5825.871579809972,5824.071286449471,0
diagnostic,BOUNDED_ALL16,1,0,171.3090435026663,173.3305,194.3036,200.87805,215.78685,5837.4034409014475,5835.7642114568625,0
diagnostic,BOUNDED_ALL16,1,1,171.94278669660397,174.02949999999998,194.7671,201.4826,215.60264,5815.8880591165325,5814.1275438085395,0
diagnostic,BOUNDED_ALL16,2,0,173.1274297642436,174.6405,197.186,204.66965,218.65238,5776.092219250009,5774.467098794257,0
diagnostic,BOUNDED_ALL16,2,1,171.6845891103003,173.75900000000001,194.6316,201.3727,216.41197999999997,5824.634611540708,5822.923168397178,0
diagnostic,BOUNDED_ALL16,3,0,172.73684514454112,174.43099999999998,196.6485,204.35739999999998,221.02205999999998,5789.1528536556825,5787.570902190219,0
diagnostic,BOUNDED_ALL16,3,1,172.49927806623631,174.404,195.7967,202.38199999999998,216.72149000000002,5797.1257109610615,5795.433624056349,0
diagnostic,BOUNDED_ALL16,4,0,171.81823842267752,173.699,194.649,201.3148,216.86491999999998,5820.103902706608,5818.538700828049,0
diagnostic,BOUNDED_ALL16,4,1,172.8894983861914,174.72,196.6531,203.30645,218.36311999999998,5784.04130577239,5782.293920452516,0
diagnostic,BOUNDED_ALL16,5,0,171.76105893909627,173.723,194.8963,201.78809999999996,217.14117,5822.041422989736,5820.452910702053,0
diagnostic,BOUNDED_ALL16,5,1,170.8955442744878,172.95600000000002,193.6072,199.80329999999998,214.30893999999998,5851.52763487986,5849.809871615562,0
diagnostic,BOUNDED_ALL16,6,0,173.76599270277853,175.379,198.25789999999998,206.23699999999997,222.1469,5754.8659806552005,5753.316377757189,0
diagnostic,BOUNDED_ALL16,6,1,171.14018979792309,173.11599999999999,193.79389999999998,200.22924999999995,213.91181999999998,5843.162854854657,5841.437277953119,0
diagnostic,GAP_BOUNDED,0,0,169.39227890822337,171.417,191.9297,198.60339999999997,213.6255,5903.456795346613,5901.823600051539,0
diagnostic,GAP_BOUNDED,0,1,169.75795270839183,171.66500000000002,192.5523,198.91364999999996,213.53587,5890.740221860404,5885.594628868782,0
diagnostic,GAP_BOUNDED,1,0,169.69253178501262,171.542,192.46189999999999,199.36309999999995,214.92610999999997,5893.011256776598,5891.362964349844,0
diagnostic,GAP_BOUNDED,1,1,169.3430115071569,171.40800000000002,191.8399,198.5555,211.94144999999995,5905.174303326578,5903.33901851556,0
diagnostic,GAP_BOUNDED,2,0,169.47058714566379,171.44150000000002,191.89350000000002,198.5127,213.61648,5900.7289515110815,5899.116749943201,0
diagnostic,GAP_BOUNDED,2,1,169.31382444569184,171.268,191.8775,198.29969999999997,212.76174,5906.192263235744,5904.434528120932,0
diagnostic,GAP_BOUNDED,3,0,170.54014264664607,172.4905,193.8168,201.0366,215.47743,5863.722080214095,5862.075599618785,0
diagnostic,GAP_BOUNDED,3,1,169.80544765646928,171.6015,192.71069999999997,199.51899999999998,214.57521,5889.092569180019,5887.359373871813,0
diagnostic,GAP_BOUNDED,4,0,171.7898498456357,173.556,195.76330000000002,202.511,218.02684,5821.065685187831,5819.498347792887,0
diagnostic,GAP_BOUNDED,4,1,170.1476196323323,172.113,192.8683,199.40715,213.33719,5877.2494270614825,5875.527717064472,0
diagnostic,GAP_BOUNDED,5,0,169.152359738984,171.233,191.4659,198.0626,212.93732,5911.830030293886,5910.214269962295,0
