observable,consistent_sign,minimum_absolute_spearman,median_absolute_spearman,spearman_by_model
g10_11_pq,True,0.31129422357234127,0.31983283541545704,"[-0.3289497008653314, -0.31129422357234127, -0.3227402422481993, -0.31983283541545704, -0.31411614657801473]"
g9_12_pq,True,0.42944833815838573,0.43619146537304687,"[-0.42944833815838573, -0.43619146537304687, -0.44230012692484544, -0.4417327696070497, -0.4305457208880525]"
relative_g10_11_pq,True,0.2945018060325328,0.3056779061569304,"[-0.31729492171281365, -0.2945018060325328, -0.31401075552332414, -0.3056779061569304, -0.29524463202803436]"
relative_g9_12_pq,True,0.41846339813044714,0.4254826843899728,"[-0.4254826843899728, -0.42337909740894614, -0.4412689642863925, -0.4359843338016166, -0.41846339813044714]"
count_1pct,True,0.3538628517558291,0.3639087724686557,"[0.3639087724686557, 0.36043705646996094, 0.37127558576687486, 0.37159219291078305, 0.3538628517558291]"
count_2pct,True,0.42030751657942295,0.428659156080364,"[0.42030751657942295, 0.4271446211784439, 0.428659156080364, 0.43315337960581723, 0.42903206776983044]"
count_5pct,True,0.37225214396241996,0.40394477837355103,"[0.37225214396241996, 0.40394477837355103, 0.40939162863028017, 0.42206917852340897, 0.3922104660729609]"
