ef_search,feature,bin,count,min_x,max_x,mean_x,mean_loss,query_standard_error,mean_disagreement,harmful_fraction
64,candidate_mae,0,1000,240.37746374947685,955.3447881475225,790.6948976740782,0.11940000000000002,0.002920988218424061,0.13010000000000002,0.773
64,candidate_mae,1,1000,955.3467127618093,1084.415115765685,1026.219542877166,0.10640000000000001,0.002658214834453022,0.12169999999999999,0.746
64,candidate_mae,2,1000,1084.8603814752253,1174.0956917317708,1131.3987342685434,0.10150000000000002,0.0026219505381727976,0.1196,0.727
64,candidate_mae,3,1000,1174.1685784646738,1248.886581988512,1213.1461566612243,0.0913,0.002498109395232833,0.11669999999999998,0.676
64,candidate_mae,4,1000,1249.019199516937,1321.741170842032,1285.3448479844117,0.10080000000000001,0.002627977600031299,0.12129999999999998,0.708
64,candidate_mae,5,1000,1321.8318418985637,1391.921968978818,1356.6984928343677,0.09540000000000001,0.0027470686897830545,0.1206,0.661
64,candidate_mae,6,1000,1391.9555693401287,1467.1596870734759,1428.666613729304,0.09620000000000001,0.0027409985540078406,0.12049999999999998,0.681
64,candidate_mae,7,1000,1467.2222679093568,1552.4405570652175,1508.4136460776658,0.0952,0.0026160664754175883,0.1196,0.682
64,candidate_mae,8,1000,1552.5565265183789,1674.1068997524753,1609.2918618411304,0.0956,0.0025975733651597576,0.1198,0.687
64,candidate_mae,9,1000,1674.3442891311167,3482.8262205510123,1845.662881374904,0.0936,0.002654446474518951,0.11189999999999999,0.674
64,relative_boundary_margin,0,1000,0.0,0.0008927296100557063,0.0003816875951019882,0.1139,0.0028469097096492004,0.15080000000000002,0.752
64,relative_boundary_margin,1,1000,0.0008929491362434317,0.0020357205337404776,0.0014501984887352677,0.11860000000000002,0.0029159119572686933,0.1493,0.764
64,relative_boundary_margin,2,1000,0.0020390220176964664,0.0032952157030387234,0.0026583105414753785,0.11610000000000001,0.002859889677761884,0.14259999999999998,0.766
64,relative_boundary_margin,3,1000,0.003295726018797845,0.004851752021563342,0.004062480478258491,0.11410000000000002,0.0027052742020927394,0.1387,0.766
64,relative_boundary_margin,4,1000,0.004854144514816698,0.006826870562534134,0.0057852015668373,0.1075,0.0027388412241769787,0.1303,0.734
64,relative_boundary_margin,5,1000,0.006828722938163799,0.008994170043995579,0.007882620578666512,0.09930000000000001,0.002587702882134308,0.1209,0.715
64,relative_boundary_margin,6,1000,0.008994334277620397,0.011789999306470629,0.01034416158256218,0.09610000000000002,0.0025576026531365917,0.11189999999999997,0.703
64,relative_boundary_margin,7,1000,0.01179108095007271,0.01606691240887978,0.013777992136190619,0.0925,0.0024371478596280716,0.1069,0.699
