start_query,queries,total_batch_us,refine_and_final_us,exact_evals
0,32,5717.1940000000004,13.462,96
32,32,5664.9179999999997,13.596,96
64,32,5583.8609999999999,11.664999999999999,80
96,32,5870.7349999999997,16.117999999999999,112
128,32,5872.6890000000003,15.925000000000001,112
160,32,5811.8329999999996,14.036,96
192,32,5729.7489999999998,17.215,128
224,32,5952.3090000000002,11.380000000000001,80
256,32,5952.4700000000003,23.135999999999999,160
288,32,5806.0600000000004,31.93,224
320,32,5927.1009999999997,18.077000000000002,128
352,32,5738.9830000000002,17.170000000000002,112
384,32,5899.2939999999999,13.738,96
416,32,5933.9110000000001,17.896999999999998,128
448,32,5742.3450000000003,13.571,96
480,32,6015.1180000000004,19.762,144
512,32,5726.5299999999997,14.000999999999999,96
544,32,5894.2370000000001,14.002000000000001,96
576,32,5758.9530000000004,15.499000000000001,112
608,32,5668.2510000000002,15.836,112
640,32,5569.1620000000003,15.292,112
672,32,5773.3450000000003,24.824000000000002,176
704,32,5949.9319999999998,18.195,128
736,32,5822.8900000000003,14.436,96
768,32,5660.5810000000001,16.141999999999999,112
800,32,5736.5079999999998,9.4870000000000001,64
832,32,5994.1019999999999,16.385999999999999,112
864,32,5659.7269999999999,23.306999999999999,160
896,32,5940.3140000000003,14.285,96
928,32,5833.7749999999996,16.577000000000002,112
960,32,5888.0259999999998,35.962000000000003,256
992,32,5947.6549999999997,28.864999999999998,208
1024,32,5632.3890000000001,26.550000000000001,176
1056,32,5808.4840000000004,24.613,176
1088,32,5760.3459999999995,20.093,144
1120,32,5964.6139999999996,15.679,112
1152,32,5734.6620000000003,15.548,112
1184,32,5541.0259999999998,16.143000000000001,112
1216,32,5961.3450000000003,24.847999999999999,176
1248,32,5805.076,17.984999999999999,128
1280,32,5581.8299999999999,17.696000000000002,128
1312,32,5902.4040000000005,17.664999999999999,128
1344,32,5718.0230000000001,22.989000000000001,160
1376,32,5723.9380000000001,24.91,176
1408,32,5892.7790000000005,21.376999999999999,144
1440,32,5805.7089999999998,9.8529999999999998,64
1472,32,5653.3609999999999,20.763999999999999,144
1504,32,5818.5829999999996,20.771000000000001,144
1536,32,5748.1170000000002,29.925000000000001,208
1568,32,5674.6980000000003,19.405999999999999,128
1600,32,5836.2129999999997,18.292999999999999,128
1632,32,5810.2349999999997,13.644,96
1664,32,5654.0540000000001,25.876000000000001,176
1696,32,5866.7120000000004,18.366,128
1728,32,5652.8670000000002,20.785,128
1760,32,5724.0680000000002,11.129,80
1792,32,5734.8670000000002,9.3870000000000005,64
1824,32,5771.4809999999998,16.373000000000001,112
1856,32,5779.3209999999999,25.812999999999999,176
1888,32,5711.9920000000002,22.768000000000001,160
1920,32,5876.6540000000005,18.219000000000001,128
1952,32,6062.4110000000001,26.010000000000002,176
1984,32,5960.991,14.077,96
2016,32,5859.4750000000004,11.305,80
2048,32,5768.5309999999999,16.352,112
2080,32,5798.6149999999998,11.252000000000001,80
2112,32,5966.5429999999997,22.684999999999999,160
2144,32,5798.9679999999998,11.643000000000001,80
2176,32,5812.0950000000003,21.716000000000001,144
2208,32,5988.3940000000002,21.071999999999999,144
2240,32,5793.1440000000002,17.882000000000001,128
2272,32,6322.5969999999998,20.616,144
2304,32,5970.9920000000002,13.724,96
2336,32,6036.4049999999997,6.1159999999999997,48
2368,32,5818.8410000000003,16.027999999999999,112
2400,32,5725.9979999999996,11.044,80
2432,32,5786.7740000000003,15.956,112
2464,32,5679.6379999999999,15.577,112
2496,32,5963.4620000000004,24.050000000000001,176
2528,32,5952.8270000000002,17.827000000000002,128
2560,32,5672.3299999999999,18.050000000000001,128
2592,32,5768.7269999999999,19.995999999999999,144
2624,32,5762.6890000000003,16.297000000000001,112
2656,32,5614.741,20.178000000000001,144
2688,32,5757.9269999999997,15.635999999999999,112
2720,32,5765.4059999999999,18.135000000000002,128
2752,32,6006.9430000000002,25.196000000000002,176
2784,32,5915.7939999999999,25.356999999999999,176
2816,32,5563.6310000000003,16.187000000000001,112
2848,32,5901.8010000000004,9.0709999999999997,64
2880,32,5624.6270000000004,13.131,96
2912,32,5750.2939999999999,19.077000000000002,128
2944,32,5910.451,13.914999999999999,96
2976,32,5707.6610000000001,18.311,128
3008,32,5994.0940000000001,16.140000000000001,112
3040,32,6120.3670000000002,19.18,128
3072,32,6117.3850000000002,24.686,176
3104,32,5822.0659999999998,12.688000000000001,96
3136,32,5867.3950000000004,15.4,112
3168,32,5960.1260000000002,25.306999999999999,176
3200,32,5714.3289999999997,19.361000000000001,128
3232,32,6051.96,8.8140000000000001,64
3264,32,5823.6350000000002,17.861000000000001,128
3296,32,5752.732,17.716999999999999,128
3328,32,5930.1559999999999,16.329999999999998,112
3360,32,5848.1819999999998,18.818000000000001,128
3392,32,5845.0290000000005,13.503,96
3424,32,5851.6959999999999,13.209,96
3456,32,5953.2330000000002,14.371,96
3488,32,5656.3810000000003,13.734999999999999,96
3520,32,5796.2600000000002,16.327999999999999,112
3552,32,5581.3959999999997,16.992999999999999,128
3584,32,6274.3410000000003,21.077000000000002,144
3616,32,5793.1570000000002,22.161000000000001,160
3648,32,5688.2969999999996,20.477,144
3680,32,5961.3050000000003,20.77,144
3712,32,5806.8190000000004,21.105,160
3744,32,6103.1440000000002,16.238,112
3776,32,5909.1790000000001,16.385000000000002,112
3808,32,6097.3630000000003,22.574000000000002,160
3840,32,5641.8289999999997,18.247,128
3872,32,5925.5299999999997,15.34,112
3904,32,5870.4030000000002,24.228999999999999,176
3936,32,5934.5370000000003,13.855,96
3968,32,5883.9790000000003,13.896000000000001,96
4000,32,5774.3879999999999,20.686,144
4032,32,5701.7640000000001,11.252000000000001,80
4064,32,5571.1319999999996,13.747,96
4096,32,5870.5519999999997,13.023999999999999,96
4128,32,5724.4110000000001,16.129000000000001,112
4160,32,6058.8900000000003,22.43,160
4192,32,5987.9960000000001,31.117000000000001,224
4224,32,5772.6030000000001,7.5350000000000001,48
4256,32,5734.4579999999996,19.561,144
4288,32,5591.027,24.814,176
4320,32,5789.0789999999997,19.126000000000001,144
