query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
0,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,1160,1317,1,1,0
1,1,1,1,1,1,0,0,0,0,1351,1295,1,1,0
2,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1224,1124,1,1,0
3,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,828,832,1,1,0
4,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1321,1319,1,1,0
5,1,1,1,1,1,0,0,0,0,1123,996,1,1,0
6,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,861,877,1,1,0
7,1,0.80000000000000004,1,0.90000000000000002,1,0,0.19999999999999996,0,0.19999999999999996,1594,1566,1,1,0
8,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1082,1148,1,1,0
9,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1174,1150,1,1,0
10,1,1,1,1,1,0,0,0,0,1056,1019,1,1,0
11,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,818,889,0.90000000000000002,0.90000000000000002,0
12,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,935,919,0.40000000000000002,0.40000000000000002,0
13,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,1163,1153,1,1,0
14,1,0.69999999999999996,1,1,1,0,0.30000000000000004,0,0.30000000000000004,813,809,1,1,0
15,0.90000000000000002,0.90000000000000002,1,0.90000000000000002,0.90000000000000002,0,0,-0.099999999999999978,0.099999999999999978,1528,1506,0.90000000000000002,1,0
16,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,956,913,1,1,0
17,1,0.69999999999999996,1,1,1,0,0.30000000000000004,0,0.30000000000000004,748,744,1,1,0
18,1,1,1,1,1,0,0,0,0,949,931,1,1,0
19,1,1,1,1,1,0,0,0,0,913,912,1,1,0
20,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,1349,1319,0.59999999999999998,0.59999999999999998,0
21,1,1,1,1,1,0,0,0,0,1192,1380,1,1,0
22,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1417,1463,1,1,0
23,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1315,1232,1,1,0
24,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,965,983,0.69999999999999996,0.69999999999999996,0
25,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1054,1093,1,1,0
26,1,1,1,1,1,0,0,0,0,1163,1159,1,1,0
27,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,1008,994,0.90000000000000002,0.90000000000000002,0
28,0.80000000000000004,0.69999999999999996,0.90000000000000002,0.90000000000000002,0.80000000000000004,0,0.10000000000000009,-0.099999999999999978,0.20000000000000007,1547,1613,0.80000000000000004,0.90000000000000002,0
29,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1273,1262,1,1,0
30,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,955,944,1,1,0
31,0.80000000000000004,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.80000000000000004,0,0,-0.099999999999999978,0.099999999999999978,1844,1338,0.80000000000000004,0.90000000000000002,0
32,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,1423,1471,0.90000000000000002,0.90000000000000002,0
33,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1008,1004,1,1,0
34,0.80000000000000004,0.69999999999999996,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0.10000000000000009,0,0.10000000000000009,1123,1105,0.80000000000000004,0.80000000000000004,0
35,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1341,1285,1,1,0
36,1,1,1,1,1,0,0,0,0,827,892,1,1,0
37,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1459,1497,1,1,0
38,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,870,861,1,1,0
