harmful_count_all,harmful_frequency_all,queries
0,0.0,350
1,0.1111111111111111,351
2,0.2222222222222222,402
3,0.3333333333333333,515
4,0.4444444444444444,578
5,0.5555555555555556,860
6,0.6666666666666666,1183
7,0.7777777777777778,1442
8,0.8888888888888888,1878
9,1.0,2441
