scope,descriptor,target,queries,spearman
oracle1,boundary_gap_r2,between_subset_variability,7136,-0.1818518198011361
oracle1,boundary_gap_r2,within_subset_variability,7136,-0.3236615142455979
oracle1,boundary_gap_r5,harmful_frequency_all,7136,-0.45521988916159717
oracle1,boundary_gap_r5,harmful_subset_frequency,7136,-0.39470348299569635
oracle1,boundary_gap_r5,overall_mean_loss,7136,-0.5773565871069304
oracle1,boundary_gap_r5,between_subset_variability,7136,-0.18857742579506054
oracle1,boundary_gap_r5,within_subset_variability,7136,-0.315448419849579
oracle1,local_distance_concentration,harmful_frequency_all,7136,-0.22968580043924183
oracle1,local_distance_concentration,harmful_subset_frequency,7136,-0.201669178054923
oracle1,local_distance_concentration,overall_mean_loss,7136,-0.2890440602484307
oracle1,local_distance_concentration,between_subset_variability,7136,-0.10877341753942223
oracle1,local_distance_concentration,within_subset_variability,7136,-0.17106355404011322
oracle1,candidate_count,harmful_frequency_all,7136,0.004350480219439991
oracle1,candidate_count,harmful_subset_frequency,7136,0.032729962004117395
oracle1,candidate_count,overall_mean_loss,7136,0.02543576439054108
oracle1,candidate_count,between_subset_variability,7136,0.05377942512426965
oracle1,candidate_count,within_subset_variability,7136,0.0715051003113818
oracle1,oracle_recall,harmful_frequency_all,7136,
oracle1,oracle_recall,harmful_subset_frequency,7136,
oracle1,oracle_recall,overall_mean_loss,7136,
oracle1,oracle_recall,between_subset_variability,7136,
oracle1,oracle_recall,within_subset_variability,7136,
