subset_a,subset_b,intersection,jaccard,expected_independent_intersection
A,B,4206,0.033153090662588876,4294.967296
A,C,4288,0.03382130237253912,4294.967296
A,O,4328,0.0341475730606577,4294.967296
B,C,4356,0.034376085103696455,4294.967296
B,O,4230,0.033348575393008624,4294.967296
C,O,4424,0.034931463584107134,4294.967296
