subset,metric,mean,std,min,max,coefficient_of_variation
A,fixed_candidate_recall,0.8529033333333335,0.0006671081871281383,0.8523400000000001,0.8536400000000002,0.0007821615428807542
A,ranking_recall_loss,0.10024666666666666,0.0006671081871280999,0.09951,0.10081000000000001,0.006654667025950322
A,cross_boundary_inversion_count,5.568533333333334,0.031938900001930864,5.5446,5.6048,0.00573560363026725
A,global_mae,1312.5722172795554,5.52883708284849,1309.0620972611136,1318.9454297960872,0.004212215533791801
A,random_pair_inversion_rate,0.034502994791666665,6.071685229948705e-05,0.0344392578125,0.03456015625,0.001759756005706255
A,topk_agreement,0.8792366666666668,0.0005054041287260828,0.8787200000000001,0.8797300000000001,0.0005748214876458172
B,fixed_candidate_recall,0.8529100000000002,0.00032741411087488636,0.8525500000000001,0.8531900000000001,0.0003838788510802855
B,ranking_recall_loss,0.10024000000000001,0.00032741411087489823,0.09996000000000001,0.10060000000000001,0.003266301983987412
B,cross_boundary_inversion_count,5.505199999999999,0.04089266437883462,5.4616,5.5427,0.007428007044037387
B,global_mae,1311.122218235713,2.2511428639691946,1309.6489095609738,1313.713506055931,0.001716958825545953
B,random_pair_inversion_rate,0.034392643229166665,5.097519055465388e-05,0.0343337890625,0.0344228515625,0.0014821539075956917
B,topk_agreement,0.8796766666666668,0.000682959247198013,0.8789100000000002,0.8802200000000001,0.000776375312745228
C,fixed_candidate_recall,0.8523400000000002,0.0007510659092249585,0.8515400000000002,0.8530300000000001,0.00088118111226149
C,ranking_recall_loss,0.10081,0.0007510659092250181,0.10012,0.10161,0.007450311568544967
C,cross_boundary_inversion_count,5.572066666666667,0.025568991637006988,5.5426,5.5884,0.004588780638603328
C,global_mae,1314.400221324279,0.689652773152741,1313.6297331268318,1314.9597694697518,0.0005246900920770576
C,random_pair_inversion_rate,0.034451757812500004,0.00014937729326985387,0.034282421875,0.03456484375,0.004335839526181037
C,topk_agreement,0.8787833333333336,0.000813469933884178,0.87787,0.8794300000000003,0.0009256774713723646
O,fixed_candidate_recall,0.8530520000000001,0.0002403539057306743,0.8526600000000001,0.85331,0.00028175762524520695
O,ranking_recall_loss,0.10009800000000002,0.00024035390573069586,0.09984000000000001,0.10049000000000001,0.002401185895129731
O,cross_boundary_inversion_count,5.54252,0.0419763266615838,5.5048,5.5914,0.00757350928126264
O,global_mae,1314.4697946644724,2.29158563000681,1310.4156808295734,1316.0343279537965,0.0017433535858401015
O,random_pair_inversion_rate,0.0344150390625,4.618056575357335e-05,0.0343578125,0.0344609375,0.0013418716645855428
O,topk_agreement,0.8794880000000003,0.00030865838721787784,0.8789800000000003,0.87982,0.0003509523577557371
