scope,category,descriptor,queries,mean,median,p90,p95,p99,min,max
all,Usually harmful,boundary_gap_r2,4503,1324.9540306462359,1162.0,2355.000000000001,2822.2999999999975,3996.6599999999926,5.0,7525.0
all,Universally harmful,boundary_gap_r2,2441,903.5497746825072,754.0,1658.0,2018.0,3307.7999999999993,12.0,7230.0
all,subset-persistent,boundary_gap_r2,5676,1099.7145877378437,941.0,2007.0,2445.25,3708.75,5.0,7525.0
all,not-subset-persistent,boundary_gap_r2,4324,1875.4407955596669,1618.5,3366.800000000001,4138.399999999998,6435.789999999987,29.0,14903.0
all,Robust,boundary_gap_r5,1103,6229.103354487761,5458.0,9870.000000000002,12085.399999999994,19806.04000000001,1667.0,36783.0
all,Model-specific,boundary_gap_r5,1953,5331.692780337941,4788.0,8262.8,10003.999999999996,15680.400000000001,672.0,39675.0
all,Usually harmful,boundary_gap_r5,4503,4445.953808572063,4018.0,7028.8,8336.9,11970.699999999928,407.0,39738.0
all,Universally harmful,boundary_gap_r5,2441,3517.5505940188445,3118.0,5896.0,7285.0,10245.999999999996,170.0,26472.0
all,subset-persistent,boundary_gap_r5,5676,3952.84637068358,3536.5,6456.5,7635.5,10838.25,170.0,39738.0
all,not-subset-persistent,boundary_gap_r5,4324,5424.054579093432,4872.0,8513.000000000004,10292.649999999994,15796.429999999971,672.0,39675.0
all,Robust,local_distance_concentration,1103,0.8177251290227037,0.3345630366870222,1.8924963363181169,3.0616912111979633,8.699035294117648,0.07760971981155468,16.53062392673154
all,Model-specific,local_distance_concentration,1953,0.8328723865635401,0.3603028621263775,1.743951020349229,3.319408100304981,8.46874695283069,0.06377947435984055,20.390134529147982
all,Usually harmful,local_distance_concentration,4503,0.7647010047204846,0.3653650007285444,1.3895979159346767,2.6089283702930692,7.565987336935762,0.06790586535522769,44.199887387387385
all,Universally harmful,local_distance_concentration,2441,0.6571961247704283,0.3390044349288882,1.1212012870933143,2.1062717770034842,7.077214306488404,0.0685879044399625,20.258661417322834
all,subset-persistent,local_distance_concentration,5676,0.7101518437878058,0.3503199951921472,1.2268458768061727,2.37254708201266,7.237045125417218,0.06790586535522769,44.199887387387385
all,not-subset-persistent,local_distance_concentration,4324,0.8199336465661443,0.3575330239448278,1.713359088925159,3.0702457269305063,8.23910584889412,0.06377947435984055,28.097902097902097
all,Robust,candidate_count,1103,1107.3744333635539,1146.0,1336.8000000000002,1389.7999999999997,1483.0,287.0,1606.0
all,Model-specific,candidate_count,1953,1066.3430619559651,1110.0,1301.0,1356.0,1489.48,310.0,1742.0
all,Usually harmful,candidate_count,4503,1031.281590051077,1068.0,1276.0,1331.0,1421.9399999999987,247.0,1598.0
all,Universally harmful,candidate_count,2441,985.3273248668578,1028.0,1254.0,1302.0,1399.0,294.0,1722.0
all,subset-persistent,candidate_count,5676,1010.9073291050036,1051.5,1266.0,1320.0,1413.25,247.0,1722.0
all,not-subset-persistent,candidate_count,4324,1067.3304810360778,1110.0,1307.0,1358.699999999999,1477.3099999999986,266.0,1742.0
all,Robust,oracle_recall,1103,0.8314596554850409,0.8,1.0,1.0,1.0,0.1,1.0
all,Model-specific,oracle_recall,1953,0.9261648745519714,1.0,1.0,1.0,1.0,0.5,1.0
all,Usually harmful,oracle_recall,4503,0.9735287586053742,1.0,1.0,1.0,1.0,0.6,1.0
all,Universally harmful,oracle_recall,2441,0.992134371159361,1.0,1.0,1.0,1.0,0.8,1.0
all,subset-persistent,oracle_recall,5676,0.9827519379844962,1.0,1.0,1.0,1.0,0.6,1.0
all,not-subset-persistent,oracle_recall,4324,0.9142923219241444,1.0,1.0,1.0,1.0,0.1,1.0
oracle1,Robust,d1,306,28592.820261437908,26207.0,53736.5,58652.0,69765.49999999999,2307.0,76360.0
oracle1,Model-specific,d1,1014,32160.51479289941,31458.5,53911.90000000001,60082.04999999999,70506.05,953.0,91160.0
oracle1,Usually harmful,d1,3547,34001.40062024246,33720.0,54649.4,60411.399999999994,71293.72,957.0,83887.0
oracle1,Universally harmful,d1,2269,34628.78889378581,34785.0,56453.0,62668.6,74824.2000000001,433.0,95624.0
oracle1,subset-persistent,d1,4851,34187.90950319522,34312.0,54984.0,61154.0,71808.5,433.0,95624.0
oracle1,not-subset-persistent,d1,2285,32687.22363238512,32056.0,54891.2,61496.79999999999,72742.15999999999,953.0,91160.0
oracle1,Robust,dk,306,46497.47385620915,46653.0,69721.0,75476.0,87707.04999999999,8158.0,93676.0
oracle1,Model-specific,dk,1014,47349.67258382643,48239.0,69499.6,75853.34999999999,84772.36,3743.0,101496.0
oracle1,Usually harmful,dk,3547,47139.279954891455,47695.0,68751.40000000001,74380.79999999999,85426.75999999998,2222.0,119008.0
oracle1,Universally harmful,dk,2269,45996.75980608197,46170.0,69389.2,75774.8,89643.00000000006,980.0,109099.0
oracle1,subset-persistent,dk,4851,46360.780663780664,46861.0,68616.0,74310.5,87133.0,980.0,109099.0
oracle1,not-subset-persistent,dk,2285,47664.91115973742,48083.0,70551.59999999999,77052.79999999997,87013.84,3743.0,119008.0
oracle1,Robust,dk_plus_1,306,48408.643790849674,48752.5,71358.5,78475.0,91905.64999999998,9047.0,97192.0
oracle1,Model-specific,dk_plus_1,1014,48196.591715976334,48681.5,70462.90000000001,77012.9,86315.48,4036.0,103435.0
oracle1,Usually harmful,dk_plus_1,3547,47581.260783760925,48093.0,69399.2,74921.9,86285.64,2234.0,119842.0
oracle1,Universally harmful,dk_plus_1,2269,46267.66769501983,46453.0,70017.2,76174.4,89781.92000000007,1012.0,109327.0
oracle1,subset-persistent,dk_plus_1,4851,46705.68954854669,47271.0,69154.0,74712.5,87752.5,1012.0,109327.0
oracle1,not-subset-persistent,dk_plus_1,2285,48519.54442013129,48631.0,71526.4,78168.0,87784.35999999996,4036.0,119842.0
oracle1,Robust,d20,306,53161.117647058825,52915.5,77752.5,85609.0,96465.05,10935.0,104267.0
oracle1,Model-specific,d20,1014,52020.32347140039,52566.5,75862.5,82499.24999999991,91621.04,4332.0,111161.0
oracle1,Usually harmful,d20,3547,50769.28531153087,51411.0,73466.6,79714.79999999999,90914.68,2661.0,123586.0
oracle1,Universally harmful,d20,2269,48929.37417364478,48946.0,73335.40000000001,79990.0,94062.76000000001,1214.0,113408.0
oracle1,subset-persistent,d20,4851,49598.04535147392,50257.0,72841.0,78761.0,92127.0,1214.0,113408.0
oracle1,not-subset-persistent,d20,2285,52304.243763676146,52609.0,76421.2,83922.79999999994,92613.15999999995,4332.0,123586.0
oracle1,Robust,boundary_margin,306,1911.1699346405228,1742.0,3497.5,4218.75,5877.149999999997,7.0,6627.0
oracle1,Model-specific,boundary_margin,1014,846.9191321499014,724.5,1677.1000000000001,2021.4499999999994,2666.74,10.0,3689.0
oracle1,Usually harmful,boundary_margin,3547,441.98082886946713,337.0,971.4000000000001,1230.0,1731.3399999999992,0.0,2856.0
oracle1,Universally harmful,boundary_margin,2269,270.9078889378581,185.0,638.2,832.5999999999999,1252.5200000000018,0.0,1990.0
oracle1,subset-persistent,boundary_margin,4851,344.9088847660276,244.0,793.0,1014.0,1521.0,0.0,2608.0
oracle1,not-subset-persistent,boundary_margin,2285,854.6332603938731,629.0,1824.6,2361.7999999999997,3712.4799999999996,0.0,6627.0
oracle1,Robust,relative_boundary_margin,306,0.045349176674507635,0.03984457885340706,0.07442479644104856,0.10375146621018248,0.15638995330237984,9.919510259607754e-05,0.24173529752928893
oracle1,Model-specific,relative_boundary_margin,1014,0.019545519195668472,0.01677221514407512,0.03934049156292738,0.04799591616437685,0.06296158245136406,0.0001612565107316208,0.08266849572217609
oracle1,Usually harmful,relative_boundary_margin,3547,0.01010512602229265,0.007717905540854783,0.02181305855764376,0.02766733111381221,0.04048043033134637,0.0,0.11423882857864176
oracle1,Universally harmful,relative_boundary_margin,2269,0.006427337674248338,0.004598110324982572,0.015023933418451183,0.01894440578966201,0.029603204365207983,0.0,0.07607361963190185
oracle1,subset-persistent,relative_boundary_margin,4851,0.008017793118295133,0.0058026807542079974,0.0181607539844068,0.022586392214523424,0.03466152850311005,0.0,0.09327456277548699
oracle1,not-subset-persistent,relative_boundary_margin,2285,0.019793523542187736,0.014441724204329766,0.04342095644629745,0.055414254222412085,0.08465975195287158,0.0,0.24173529752928893
oracle1,Robust,boundary_gap_r1,306,1911.1699346405228,1742.0,3497.5,4218.75,5877.149999999997,7.0,6627.0
oracle1,Model-specific,boundary_gap_r1,1014,846.9191321499014,724.5,1677.1000000000001,2021.4499999999994,2666.74,10.0,3689.0
oracle1,Usually harmful,boundary_gap_r1,3547,441.98082886946713,337.0,971.4000000000001,1230.0,1731.3399999999992,0.0,2856.0
oracle1,Universally harmful,boundary_gap_r1,2269,270.9078889378581,185.0,638.2,832.5999999999999,1252.5200000000018,0.0,1990.0
oracle1,subset-persistent,boundary_gap_r1,4851,344.9088847660276,244.0,793.0,1014.0,1521.0,0.0,2608.0
oracle1,not-subset-persistent,boundary_gap_r1,2285,854.6332603938731,629.0,1824.6,2361.7999999999997,3712.4799999999996,0.0,6627.0
oracle1,Robust,boundary_gap_r2,306,3827.0098039215686,3397.5,6289.0,7346.0,12141.49999999997,882.0,14903.0
oracle1,Model-specific,boundary_gap_r2,1014,2312.9664694280077,2135.0,3811.6000000000004,4478.4,6300.360000000001,141.0,9160.0
oracle1,Usually harmful,boundary_gap_r2,3547,1417.8246405413024,1262.0,2498.4,2965.0999999999995,4162.7,5.0,7525.0
oracle1,Universally harmful,boundary_gap_r2,2269,924.5407668576465,776.0,1693.0,2056.1999999999994,3315.240000000001,12.0,7230.0
oracle1,subset-persistent,boundary_gap_r2,4851,1137.6066790352504,978.0,2075.0,2524.5,3793.0,5.0,7525.0
oracle1,not-subset-persistent,boundary_gap_r2,2285,2242.7527352297593,1968.0,3882.6,4892.799999999999,6882.959999999999,53.0,14903.0
oracle1,Robust,boundary_gap_r5,306,8584.51633986928,7421.5,13675.5,16087.75,24208.45,2147.0,36783.0
oracle1,Model-specific,boundary_gap_r5,1014,6259.179487179487,5665.0,9501.500000000002,11852.849999999993,18651.660000000003,672.0,39675.0
oracle1,Usually harmful,boundary_gap_r5,3547,4677.137299126022,4265.0,7343.4000000000015,8625.0,12532.399999999996,407.0,39738.0
oracle1,Universally harmful,boundary_gap_r5,2269,3567.7130894667253,3172.0,5968.4,7344.999999999998,10264.480000000003,170.0,26472.0
oracle1,subset-persistent,boundary_gap_r5,4851,4054.3782725211295,3643.0,6574.0,7878.5,11139.5,170.0,39738.0
oracle1,not-subset-persistent,boundary_gap_r5,2285,6122.900656455142,5464.0,9670.199999999999,11962.599999999984,19331.719999999954,672.0,39675.0
oracle1,Robust,local_distance_concentration,306,1.5252013077729663,0.7387152131502088,3.529271292624377,4.6681012848995325,12.431948617551937,0.18601734394037125,15.738084220268394
oracle1,Model-specific,local_distance_concentration,1014,1.1595530632573081,0.47748287938586564,2.821278768984156,4.601308268012558,10.239311677152369,0.11020065552801983,20.390134529147982
oracle1,Usually harmful,local_distance_concentration,3547,0.8544497177067158,0.401341929679886,1.603216919030909,2.9855427183117644,7.842465594475422,0.11697269989313125,44.199887387387385
oracle1,Universally harmful,local_distance_concentration,2269,0.6695261988298898,0.3462064339705389,1.1426326059021663,2.168296933088637,7.075738198881649,0.0685879044399625,20.258661417322834
oracle1,subset-persistent,local_distance_concentration,4851,0.7593795788191503,0.3718945656291081,1.3556204379562045,2.5454555762383113,7.516574746666473,0.0685879044399625,44.199887387387385
oracle1,not-subset-persistent,local_distance_concentration,2285,1.097871406267169,0.47642465812518875,2.625139570284596,4.1303326790190695,9.559415736890333,0.11020065552801983,28.097902097902097
oracle1,Robust,candidate_count,306,920.3921568627451,959.0,1184.0,1237.25,1302.6,287.0,1395.0
oracle1,Model-specific,candidate_count,1014,978.9615384615385,1021.5,1236.4,1287.35,1378.35,310.0,1560.0
oracle1,Usually harmful,candidate_count,3547,1000.7425993797575,1040.0,1249.0,1299.0,1398.08,247.0,1581.0
oracle1,Universally harmful,candidate_count,2269,975.325694138387,1018.0,1244.0,1296.6,1391.5200000000018,294.0,1722.0
oracle1,subset-persistent,candidate_count,4851,990.1906823335395,1029.0,1249.0,1302.0,1400.0,247.0,1722.0
oracle1,not-subset-persistent,candidate_count,2285,977.4792122538294,1024.0,1235.6,1281.7999999999997,1368.119999999999,266.0,1581.0
oracle1,Robust,oracle_recall,306,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,Model-specific,oracle_recall,1014,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,Usually harmful,oracle_recall,3547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,Universally harmful,oracle_recall,2269,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,subset-persistent,oracle_recall,4851,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,not-subset-persistent,oracle_recall,2285,1.0,1.0,1.0,1.0,1.0,1.0,1.0
