scope,queries,model_a,model_b,relation,harmful_jaccard,loss_spearman,inversion_spearman,homogeneous_independent_jaccard
oracle1,7136,A1,A2,within,0.7216605392156863,0.37089754118993,0.4596884590037936,0.6494617323210737
oracle1,7136,A1,A3,within,0.7168371241031903,0.35691503763970434,0.45359260233172255,0.6502212293397456
oracle1,7136,A1,B1,between,0.7084854014598541,0.3286038533412544,0.41107389781721554,0.649081840681744
oracle1,7136,A1,B2,between,0.7156817834783936,0.34665163571278196,0.4187141242466369,0.6491768225402916
oracle1,7136,A1,B3,between,0.7069647201946472,0.32773620259926944,0.4247701634453105,0.6481316938323823
oracle1,7136,A1,C1,between,0.7091433778857837,0.3242341750895632,0.41273538191704695,0.650790601767791
oracle1,7136,A1,C2,between,0.7157221206581352,0.32756138107512534,0.42284152380251855,0.651644258374607
oracle1,7136,A1,C3,between,0.7179331306990882,0.336351681514525,0.42281131805736943,0.655621621642701
oracle1,7136,A2,A3,within,0.7221458046767538,0.36618860066414727,0.45606661118861663,0.6522337702964017
oracle1,7136,A2,B1,between,0.7166387067256367,0.3390556901713375,0.4219749345176845,0.651087323752813
oracle1,7136,A2,B2,between,0.7223072215422277,0.35529268897267446,0.43576483630029783,0.6511828934965637
oracle1,7136,A2,B3,between,0.7237890864500307,0.3673205042071076,0.44380792737610114,0.6501313007758294
oracle1,7136,A2,C1,between,0.7191216834400732,0.3241233580870701,0.4160015537751823,0.6528066743332134
oracle1,7136,A2,C2,between,0.7155237950433329,0.3368496596729023,0.4210530220864425,0.6536656316779581
oracle1,7136,A2,C3,between,0.7242691839220463,0.3308139055358815,0.42313188389173734,0.6576677842196323
oracle1,7136,A3,B1,between,0.7147206576343431,0.3428222610696572,0.42522884059039323,0.6518506297795937
oracle1,7136,A3,B2,between,0.7161791590493601,0.33171019546992786,0.420963855689771,0.6519464237546766
oracle1,7136,A3,B3,between,0.7126769137117638,0.3513808445947653,0.4283724414432659,0.6508923655399748
oracle1,7136,A3,C1,between,0.7187690432663011,0.34447990739266104,0.4236969048117195,0.6535740194399055
oracle1,7136,A3,C2,between,0.71413390010627,0.3208061176339342,0.41005642314762786,0.6544349986351398
oracle1,7136,A3,C3,between,0.7270649192319415,0.34467418092881963,0.4314284995069247,0.6584466067280376
oracle1,7136,B1,B2,within,0.7291026429010449,0.376120338627004,0.4619171253892179,0.6508009862530366
oracle1,7136,B1,B3,within,0.7311364336310441,0.3694545235926133,0.4693197509447891,0.6497506256568327
oracle1,7136,B1,C1,between,0.7195605736954531,0.33463502296865727,0.4145937662260214,0.6524228606388516
oracle1,7136,B1,C2,between,0.7180502665651181,0.3271898113089354,0.4177417824540237,0.6532808075793591
oracle1,7136,B1,C3,between,0.7194714459295262,0.3296836901498028,0.43146329476774464,0.6572782348285887
oracle1,7136,B2,B3,within,0.7304909958442358,0.37274689542163125,0.45064321855004313,0.649845803360707
oracle1,7136,B2,C1,between,0.714742126882702,0.3314836342905749,0.4090794342397696,0.6525188228867301
oracle1,7136,B2,C2,between,0.7197743558469278,0.33612686756807353,0.4236412988795994,0.6533770223957043
oracle1,7136,B2,C3,between,0.7290775809407453,0.35047707889237273,0.4312365657686582,0.6573756308127096
oracle1,7136,B3,C1,between,0.7112462006079028,0.32446737953107063,0.4060290784007692,0.6514629144639313
oracle1,7136,B3,C2,between,0.7141770611499848,0.3287993624916775,0.4157399809531224,0.6523183369162242
oracle1,7136,B3,C3,between,0.7197810551923369,0.3310577945464567,0.42866554842125904,0.6563039581897594
oracle1,7136,C1,C2,within,0.7239432321074317,0.35419189493890774,0.4507968004578109,0.6550117779028722
oracle1,7136,C1,C3,within,0.729296934573738,0.3518621581196169,0.448946177163021,0.6590304819984301
oracle1,7136,C2,C3,within,0.7349029200428069,0.35270619972168277,0.44754500485426124,0.6599059068645673
no_exact_boundary_ties,9829,A1,A2,within,0.6681143684401013,0.4214026130499728,0.44612688347730284,0.5424612082118715
no_exact_boundary_ties,9829,A1,A3,within,0.6622286194074607,0.40850055787078876,0.44544851631313614,0.544323582342571
no_exact_boundary_ties,9829,A1,B1,between,0.6536719122556033,0.38086242209019905,0.40689872267909044,0.5451034341574332
no_exact_boundary_ties,9829,A1,B2,between,0.6605086372360844,0.4006220857710623,0.4095692557422263,0.5433628373596645
no_exact_boundary_ties,9829,A1,B3,between,0.6545454545454545,0.3870373964532722,0.4146456155096137,0.5427618514259549
no_exact_boundary_ties,9829,A1,C1,between,0.6527046433700335,0.3843165038498486,0.4118921960895199,0.5414382712515021
no_exact_boundary_ties,9829,A1,C2,between,0.6600719424460432,0.38357048326079957,0.4124329598811766,0.5435430550580679
no_exact_boundary_ties,9829,A1,C3,between,0.6618773946360154,0.39320587028363685,0.418346936515099,0.5456429363392313
no_exact_boundary_ties,9829,A2,A3,within,0.6681867274690988,0.420090580374894,0.4527287845210257,0.546956248524816
no_exact_boundary_ties,9829,A2,B1,between,0.6613731343283582,0.39297231756547785,0.41431415886443235,0.5477436676747583
no_exact_boundary_ties,9829,A2,B2,between,0.666066714662827,0.40495690306169974,0.43113068593546067,0.5459861959029952
no_exact_boundary_ties,9829,A2,B3,between,0.6686710763680096,0.41699879824419306,0.4319763685135813,0.5453793960745498
no_exact_boundary_ties,9829,A2,C1,between,0.661031175059952,0.3841838187979081,0.40946232008634503,0.5440430345331481
no_exact_boundary_ties,9829,A2,C2,between,0.6606480927896687,0.39220432638141073,0.41611617745605667,0.5461681582775145
no_exact_boundary_ties,9829,A2,C3,between,0.6678246286535697,0.39147986972973736,0.4193900713533878,0.5482884113318115
no_exact_boundary_ties,9829,A3,B1,between,0.6611078022632519,0.3984146211235048,0.41908276452869836,0.549642553301854
no_exact_boundary_ties,9829,A3,B2,between,0.6624059252180146,0.39272272902809313,0.4121041074850141,0.5478728946925053
no_exact_boundary_ties,9829,A3,B3,between,0.658437686344663,0.40110051952654113,0.4199814291151373,0.5472618962744857
no_exact_boundary_ties,9829,A3,C1,between,0.6603683329347046,0.39751268251824545,0.41576869944875305,0.5459163046844223
no_exact_boundary_ties,9829,A3,C2,between,0.6588010964128233,0.3793602843463632,0.41098062105518635,0.5480561170218091
no_exact_boundary_ties,9829,A3,C3,between,0.6699377692675922,0.4006940709644529,0.42362124331413026,0.5501910823677227
no_exact_boundary_ties,9829,B1,B2,within,0.6695433297375045,0.41716550205706265,0.4462231261813621,0.548662957238031
no_exact_boundary_ties,9829,B1,B3,within,0.6725546743571257,0.41237128222371505,0.4578659806114919,0.5480501963488991
no_exact_boundary_ties,9829,B1,C1,between,0.6615255858440937,0.3880893353291854,0.4137889951478706,0.5467007302478638
